uid,id.orig_h,id.resp_h,version,cipher,server_name,ja3,duration,orig_bytes,resp_bytes
CUK7Go1fIO9DFjQVwi,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2606:4700:83bb:44a8:d3fd:797:652f:76d6,TLSv13,TLS_AES_128_GCM_SHA256,www.freecodecamp.org,fbc102065284f8e1a06bd6c44b4ad2c7,3.278057,1794,3988
CZD7kw43kMTTVaekM,192.168.1.101,18.161.229.43,TLSv13,TLS_AES_128_GCM_SHA256,js.stripe.com,1dae50d07b356caeb65c58975efef9be,0.531510,2010,5364
CiqNC49tqqq3SiAvk,192.168.1.101,13.203.234.128,TLSv13,TLS_AES_256_GCM_SHA384,qmjyl5wyti-dsn.algolia.net,ee6b20a617d68a47f93ee18d97cebfb4,4.956206,3054,9249
C08FaaGr70PRGDqZ1,192.168.1.101,54.187.159.182,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,r.stripe.com,623e11650947687663ec3d42d440169f,5.213714,13106,3879
CtYmDg4qyT8ej9X1D,192.168.1.101,54.187.159.182,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,r.stripe.com,835469791a02da1850bb418741cea49b,4.951742,1879,3024
CwxKbl1Xjgh71qKP8g,192.168.1.101,199.232.100.176,TLSv13,TLS_AES_128_GCM_SHA256,m.stripe.network,c86cff7464addd660fcc74fd0ed38049,1.286203,2465,7724
CDDXba1Ux0LezZme43,192.168.1.101,199.232.100.176,TLSv13,TLS_AES_128_GCM_SHA256,m.stripe.network,971ef2e54c4628768e86122e8d523c91,4.585707,2692,16428
ClmdSE11nKAlHSQot4,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2602:fd3f:3:ff03::6a,TLSv13,TLS_AES_128_GCM_SHA256,forum.freecodecamp.org,309777dd4997a3d37983d4f64c601181,4.189987,4288,3974
CPR76I1rgKApddnoWi,192.168.1.101,172.217.24.5,TLSv13,TLS_AES_128_GCM_SHA256,mail.google.com,0081445840292a419af7c97ea4c7b559,47.659571,410651,2997070
CvVIkq8LpuxzVApBf,192.168.1.101,52.35.81.164,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,m.stripe.com,3ad2d46c69d12d882e71cd22af7463e8,4.171175,4353,4359
CL5LfS2g0xO2bQHI1,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2602:fd3f:3:ff03::6a,TLSv13,TLS_AES_128_GCM_SHA256,forum.freecodecamp.org,2deb33c962495e018dba5ed9ebff7733,3.951988,1939,3321
Ciy10q4SaTvdquIn6,192.168.1.101,34.120.237.76,TLSv13,TLS_AES_128_GCM_SHA256,img-getpocket.cdn.mozilla.net,0e76c7e9d06fa0e211b1827687dd8f43,9.457430,5045,152867
CH8KoB2HvGtaacIoRa,192.168.1.101,34.110.207.168,TLSv13,TLS_AES_128_GCM_SHA256,profile.accounts.firefox.com,0e76c7e9d06fa0e211b1827687dd8f43,0.198502,2660,829
C8Swni37CHj7dVykzk,192.168.1.101,54.187.159.182,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,r.stripe.com,9cf58d5597178ff659588665dac954a6,2.282262,3967,3345
CzVQPb5XwDTJsAbX2,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2600:9000:2354:e00:15:85fe:56c0:93a1,TLSv13,TLS_AES_128_GCM_SHA256,variations.brave.com,992f35075246dd91867534593ff696f7,0.266148,2509,985
CnCKp94R0Mhoc39MDd,192.168.1.101,34.120.208.123,TLSv13,TLS_AES_128_GCM_SHA256,incoming.telemetry.mozilla.org,0e76c7e9d06fa0e211b1827687dd8f43,0.533403,5173,1445
CgBbKv1if6d7CiAsb2,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:835::200e,TLSv13,TLS_AES_128_GCM_SHA256,lh3.google.com,6f7889b9fb1a62a9577e685c1fcfa919,1.275198,4367,10292
CFHajr4Yjetd5xaUe5,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:802::2001,TLSv13,TLS_AES_128_GCM_SHA256,lh3.googleusercontent.com,0081445840292a419af7c97ea4c7b559,0.132029,2694,1951
CKk0ap16Gzzm9Nbzyd,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:80e::200a,TLSv13,TLS_AES_128_GCM_SHA256,ogads-pa.clients6.google.com,6f7889b9fb1a62a9577e685c1fcfa919,0.207995,2614,10565
CNQ7N51j60UPTQzW43,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:80e::2004,TLSv13,TLS_AES_128_GCM_SHA256,www.google.com,0081445840292a419af7c97ea4c7b559,0.123795,2683,1951
Ci1zM0265ksIOfEUXe,192.168.1.101,142.251.43.202,TLSv13,TLS_AES_128_GCM_SHA256,waa-pa.clients6.google.com,0081445840292a419af7c97ea4c7b559,0.184793,3160,2426
CUlUL217NSso5WjM2d,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:80e::200a,TLSv13,TLS_AES_128_GCM_SHA256,ogads-pa.clients6.google.com,6f7889b9fb1a62a9577e685c1fcfa919,0.213800,2110,10064
CNj5Zsv3yaRB3c0ij,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:808::200a,TLSv13,TLS_AES_128_GCM_SHA256,waa-pa.clients6.google.com,0081445840292a419af7c97ea4c7b559,0.885597,7399,27838
ChMXun18bauF7P87Ih,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:836::200a,TLSv13,TLS_AES_128_GCM_SHA256,appsgrowthpromo-pa.clients6.google.com,6f7889b9fb1a62a9577e685c1fcfa919,0.631843,2883,10740
C16ibC3BhtP8HBJvCc,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:836::200a,TLSv13,TLS_AES_128_GCM_SHA256,appsgrowthpromo-pa.clients6.google.com,6f7889b9fb1a62a9577e685c1fcfa919,0.170578,2120,10065
CtwBgT2Y9giiOv9ljd,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:81b::2003,TLSv13,TLS_AES_128_GCM_SHA256,fonts.gstatic.com,6f7889b9fb1a62a9577e685c1fcfa919,0.094002,1902,3921
COvhYCorIf28Lpuj1,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:818::2003,TLSv13,TLS_AES_128_GCM_SHA256,www.gstatic.com,6f7889b9fb1a62a9577e685c1fcfa919,0.278736,2513,4778
CuVSyN3W7f5XriBlIa,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:815::200a,TLSv13,TLS_AES_128_GCM_SHA256,addons-pa.clients6.google.com,0081445840292a419af7c97ea4c7b559,0.141782,2698,1951
CeZp5vOvZtDs5uBr3,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:81b::2003,TLSv13,TLS_AES_128_GCM_SHA256,fonts.gstatic.com,6f7889b9fb1a62a9577e685c1fcfa919,0.229582,2598,4773
CClcHD3MkDN5mYxwUh,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:834::200e,TLSv13,TLS_AES_128_GCM_SHA256,ogs.google.com,6f7889b9fb1a62a9577e685c1fcfa919,0.468174,4423,29315
Cdy6HD4XzhMuHM6vMf,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4003:c1a::54,TLSv13,TLS_AES_128_GCM_SHA256,accounts.google.com,0081445840292a419af7c97ea4c7b559,0.193937,2688,1951
CkBmku14WRlFDggNWh,192.168.1.101,54.187.159.182,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,r.stripe.com,d90abb222c5c4c42f41e605a1de7d26e,2.710298,3774,3287
